42° 53′ N,8° 46′ W
16° 17' S
16° 25' 20" S,167° 57' 23" E
17° 18' 30" S,45' E
17° 31' S
18° 1' S,1° 23' E
18° 45' S
18° 43' S,169° '28' E
19° 32' 25.5" S,169° 44' 35" E
20° 33' 30" S
16° 29' S
16° 22' 30" S
15° 23' S
14° 55' 30" S,167° 3' E
15° 5' S
14° 56' S,179° 30' E
14° 38.75' S,166° 49.5' E
15° 45' S
15° 40' S,165° 59' E
14° 29' S,166° 41' E
20° 4' S,166° 41' E
14° 29' S,166° 41' E
15° 48' S
15° 22' S
14° 51.5' S
17° 53.5' S
18° 54' S,169° 19' E
20° 3' S,170° 4' E
18° 22' S,165° 26' E
19° 14' S,165° E
19° 49' S,164° 53' E
20° 17' 39" S,164° 41' 21" E
19° 28' S,longitude from Observatory Isle 27' W
19° 25' S
19° 7' S,163° 57' E
19° 35' S
19° 54' S,longitude made from Observatory Isle 1° 8' E
20° 41' S,longitude made from Observatory Isle 1° 8' E
22° 2' S,167° 7' 1/2 E
22° 16' S,167° 14' E
21° 59' 30" S
22° 16' S,167° 14' E
22° 38' S,167° 40' E
22° 44' 36" S
22° 29' S,166° 57' E
23° 18' S,1° 54' E
23° 18' S,1° 54' E
19° 37' S,163° 37' E
22° 30' S,163° 37' E
15° S,228° 10′ W,143° 10' W
15° S,228° 10′ W,143° 10' W
27° 50' S,171° 43' E
28° 25' S,170° 26' E
29° 2' 30" S,168° 16' E
39° 24' S
41° 5' 50.5" S,184° 54' 30" W
43° 13.5' S,176° 41' E
44° 25' S,177° 31' E
45° 54' S,179° 29' E
47° 30' S,178° 19' W
49° 33' S,175° 31' W
51° 12' S,173° 17' W
51° 47' S,172° 21' W
52° 25' S,170° 45' W
53° 43' S,166° 15' W
54° 8' S,162° 18' W
55° 31' S,160° 29' W
55° 48' S,156° 56' W
55° 46' S,156° 13' W
55° 38' S,153° 37' W
55° 8' S,24° 3' E
55° 6' S,138° 56' W
55° 20' S,31° 30' E
55° 32' S,128° 45' W
55° 41' S,127° 5' W
55° 17' S,125° 41' W
53° 31' S,121° 31' W
53° 13' S,119° 46' W
53° 8' S,115° 58' W
53° 13' S,119° 46' W
58° 16' S,109° 33' W
53° 37' S,72° 10' E
54° S,11° E
53° 35' S,95° 52' W
53° 25' S,87° 53' W
53° 30' S,82° 23' W
53° 25' S,87° 53' W
53° 25' S,87° 53' W
53° 16' S,75° 9' W
53° 21' S
50° S
55° S
53° S,95° E
54° 13' S
54° 30' S,73° 33' W
54° 55' S,72° 12' W
55° 20' S,31° 30' E
55° 26' S,70° 25' W
55° 39' 30" S
55° 27' S,70° 16' W
55° 53' S,69° 41' W
55° 39' S,178° 53' W
55° 58' S,68° 13' W
54° 40' 5" S
54° 46' S,63° 47' W
57° 9' S,57° 45' W
57° 21' S,57° 45' W
58° 9' S,53° 14' W
56° 4' S,122° 1' W
55° 4' S,51° 43' W
55° 12' S,50° 15' W
54° 35' S,47° 56' W
54° 38' S,45° 10' W
54° 28' S,42° 8' W
55° 7' S
53° 56' 1/2,39° 24' W
54° 25' 1/2,38° 18' W
54° S,11° E
54° 5' S,37° 18' W
54° 30' S,73° 33' W
54° 42' 30" S,11° 12' E
54° S,11° E
54° 57' S,35° 34' W
54° S,11° E
55° S
56° 16' S,32° 9' W
56° 33' S,31° 10' W
57° 38' S
59° 46' S
60° S
60° 4' S,29° 23' W
59° 3O' S,29° 24' W
59° S,92° 30' E
59° 13.5' S,27° 45' W
58° 27' S,26° 44' W
58° 25' S
57° 49' S,26° 44' W
57° 11' S,27° 6' W
56° 44' S,25° 33' W
57° 8' S,80° 59' E
58° 15' S,21° 34' W
58° 24' S,16° 19' W
58° 30' S,15° 14' W
58° 27' S,26° 44' W
58° 15' S,21° 34' W
58° 11' S,7° 55' W
58° 23' S,6° 54' W
57° 50' S,29° 32' E
50° 37' S,4° 11' E
55° 26' S,70° 25' W
54° 20' S,6° 33' E
54° 25' S,8° 46' E
54° 42' S,13° 3' E
54° 30' S,73° 33' W
54° 8' S,162° 18' W
54° 16' S,16° 13' E
54° 24' S,19° 18' E
55° 25' S,23° 22' E
54° S,11° E
41.5° S,26° 31' E
52° 52' S,26° 31' E
46° 44' S,33° 20' E
45° 8' S,30° 50' E
41° 30' S,26° 51' E
40° 40' S,23° 47' E
38° 51' S
38° 38' S,23° 37' E
39° 9' S,22° 38' E
34° 49' S,22° E
38° 21' S,178° 31' E
56° S,140° 31' W
58° S,213°* E
61° S,hundred and twenty-onE
54° S,11° E
54° 4' S,13° E
48° 30' S,58° 7' E
48° S,188° W
10° S,178° W
35° S,123° W
41° S,184° 45′ W
32° S,130° W
27° S,11.5° W
8° S
3° 53' S,32° 34' W
3° 49' N,31° 47' W
5° 47' N,31° W
16° 12' N,37° 20' W
20° N,39° 45' W
21° 21' N,40° 6' W
24° 20' N,40° 47' W
29° 30' N,41° 30' W
36° N,39° W
22° 31.5' N,40° 29' W
36° 45' N,36° 45' W
38° 31' N
0° 33' S,32° 16' W
1° 25' N,31° W
5° N,31° W
26° 44' N,41° W
35° N,40° W
38° 12' N,32.5° W
27 deg. N.
0° 52' n
34° 45' s
42° s
47° 10' s
49° 45' of s
51° 5' s
54° 55' s
61° 36' s
67° 15' s
48° S.,82° E.
46.5° S.,37°, 46.5° E.
47.5° S.,37°, 46.5° E.
50° s,60° E.
48° 36' s,60° E.
48° S.,82° E.
8 degrees s
62 degrees s
61°
58°of s
58 degrees of s
50 degrees s
46°
48° S,188° W
50°,122° of longitude w
54° s,122° of longitude w
41° 15' s
39° 20' s
40 degrees of s
50th and 40th degrees of s
46° 17' s
10.75° S.,158° E.
40° S.,90° W.
31° s
30°,21°,140°
19 1/2 deg. of s
33° of n
50 and 40 deg. s
17° 24' S.,141° 39' W.
17° 17' s,143° 16' W.
17° 5' S.,143° 16' W.
17° 4' S.,144° 30' W.
19° 8' s,158° 54' w
19° 18' s,158° 54' w
21° 11'S,175° W
22° 26' S.,170° 59' W.
40° s
51° 25' s
41° 5'
49° of s,180° W.
51° 33' S.,180° W.
59° s
50th and 51st deg. of s
61° 46' s
65 deg. of s
67° 12' S.
66° 22' s
59° 7' S.
51° of S.
40 and 50 degrees
60 degrees
47° 52' s
62° 30' s
67° 52' s
71° 10' S.,106° W.
50° 15' s
36° 10' S.,94.5° W.
40° S.,90° W.
37° 50' S.,101° W.
30 1/2 degrees
27th degree of S.
27° 04' S.,265° 42' E.
17° s
13° 13' s
9° 55' S.,139° W.
71 deg.
9 1/2 deg. S.
14° 28' S.,144° 56' W.
16th and 17th degree of S.
15° 36' S.,146° 30' W.
16° 46' S.,154° 8' W.
18° 4' S.,163° 10' W.
19° 1' S.,169° 37' W.
20° 17' S.,174° 32' W.
10th to the 22d degree
19° 48' S.,178° 2' W.
20° S.,140°
15° 6' S.,168° 24' E.
15° 45' S.,168° 28' E.
15° 20' S.,168° 3' E.
16° 15' S.,168° 20' E.
16° 28' S.,167° 56' E.
16° 15' S.,168° 20' E.
16° 25' S.,168° 30' E.
16° 42' S.,168° 36' E.
17° 4' S.,144° 30' W.
17° 40' S.,168° 30' E.
18° 48' S.,169° 20' E.
19° 30' S.,169° 38' E.
20° 3' S.,170° 5' E.
15° 50' S.,167° 23' E.
14° 55' S.,167° 14' E.
14° 38' S.,166° 52' E.
15° 35' S.,167° E.
20° 30' S.,165° 2' E.
20° 15' S.,164° 40' E.
19° 37' S.,163° 40' E.
22° 15' S.,167° 15' E.
22° 40' S.,167° 40' E.
22° 30' S.,166° 58' E.
22° 28' S.,167° 16' E.
10° S.,140°
14° S.,140°
30°,21°,140°
20° S.,140°
26th and 27th degree of s,168° 16' E.
29° 2' S.,168° 16' E.
55° 30' S.,70° 28' W.
55° 58' S.,67° 46' W.
54° 46' S.,64° 30' W.
54°
58° s
58° S.
52° S.
54° S.,38° 25' W.
54° S.,38° 25' W.
54° 15' S.,37° 15' W.
54° 52' S.,35° 50' W.
55° S.,34° 50' W.
59 1/2° S.
60° S.
59° 30' S.,27° 30' W.
58° 55' S.,27° W.
57° 48' S.,26° 35' W.
57° 10' S.,27° 6' W.
58° S.
58°
57°
54° S.,38° 25' W.
35°
36° S.
